user_id,seed_type,degree_in_subset,sent_events
1731570759106560115,pattern02,0,3
1590276158128128227,pattern02,0,3
2292430766342144383,pattern02,0,5
1873701184208896067,pattern02,0,3
1945101970440192661,pattern02,0,4
2002606222213120531,pattern02,0,4
1506888529215488752,pattern02,0,3
2346612441481216495,pattern02,0,3
2053986546876416681,pattern02,0,3
1861104162570240182,pattern02,0,3
1544422130974720565,pattern02,0,3
2219371678138368087,pattern02,0,4
2025573132009472561,pattern02,0,5
1777880438669312849,pattern02,0,3
1552245279686656789,pattern02,1,3
2278374881886208819,pattern02,0,4
1863423990169600484,pattern02,0,3
1983358133338112682,pattern02,0,3
2300850991005696396,pattern02,0,5
1294562970566656855,pattern02,0,4
2086457799868416970,pattern02,0,4
2028393331687424191,pattern02,0,4
1883680960151552357,pattern02,0,3
2209764817764352630,pattern02,1,4
1962515873398784599,pattern02,0,3
1872978555961344166,pattern02,0,5
2240847814852608484,pattern02,0,3
2199734995386368041,pattern02,0,3
2081532411904000296,pattern02,0,3
2431323180367872727,pattern02,5,21
2072035719118848438,pattern02,0,3
1861925457625088472,pattern02,0,3
2153259280105472199,pattern02,0,3
1362768863166464227,pattern02,0,3
2245500950544384152,pattern02,0,4
2017255541964800392,pattern02,0,3
2377852691415040713,pattern02,1,3
2060368776003584122,pattern02,0,3
1992180163936256326,pattern02,0,3
1888834157543424650,pattern02,0,3
1928603138785280731,pattern02,0,3
2160694329868288459,pattern02,0,3
1789427391135744649,pattern02,0,4
2091953780948992708,pattern02,0,4
2173509144936448222,pattern02,0,3
2140932925292544927,pattern02,0,4
2225779089866752320,pattern02,0,3
1931244694667264205,pattern02,0,6
2047011067002881003,pattern02,0,3
1864079316615168496,pattern02,0,5
2419897946603520343,pattern02,0,3
2117695558385664979,pattern02,0,3
1666994650742784408,pattern02,0,4
1967834921959424497,pattern02,0,4
1921856290422784036,pattern02,1,3
2046709060337664847,pattern02,0,9
2157478431162368736,pattern02,0,3
1989546157801472355,pattern02,1,4
1780576084295680942,pattern02,0,3
2192280442109952707,pattern02,0,4
2100438690168832755,pattern02,0,3
1754495692308480381,pattern02,0,3
1885033472196608372,pattern02,0,3
1782696774729728802,pattern02,0,4
2085892156030976791,pattern02,0,5
2183703862181888112,pattern02,0,4
2135458058338304637,pattern02,0,3
1648329318465536485,pattern02,0,5
2270173180461056414,pattern02,0,8
1630933560066048151,pattern02,0,9
1791029304885248323,pattern02,0,3
1755210871472128923,pattern02,0,5
2082947511353344226,pattern02,0,3
1923681928347648883,pattern02,0,5
2030087369129984999,pattern02,0,3
2135206551093248650,pattern02,0,4
1846853729517568848,pattern02,0,3
2019293982097409017,pattern02,0,9
2049735636549632097,pattern02,0,3
2024925095264256665,pattern02,0,3
1559704488640512918,pattern02,0,5
2163520720338944573,pattern02,0,5
2004141421363200055,pattern02,0,3
2003398417186816034,pattern02,0,3
1954083627859969022,pattern02,1,4
2046497348648960833,pattern02,0,3
2263330584526848316,pattern02,0,4
2181620165509120455,pattern02,0,4
1796871735476224619,pattern02,0,3
1257322609377280705,pattern02,0,3
1940799403065344520,pattern02,0,4
2144073611739136203,pattern02,0,4
1957406179328000863,pattern02,0,3
1773546078470144205,pattern02,0,3
1792248236736512545,pattern02,0,4
1361115485306880006,pattern02,0,4
2193254426607616627,pattern02,0,4
1817797319458816509,pattern02,0,5
1799135854329856156,pattern02,0,4
1817279490686976359,pattern02,0,3
2048003531603968102,pattern02,0,4
1759016346714112878,pattern02,1,5
1911175763722240101,pattern02,0,3
2482018088648704627,pattern02,0,3
2222985985392640560,pattern02,0,3
1729029665193984345,pattern02,0,3
1601137794875392364,pattern02,0,3
2284240582475776136,pattern02,0,3
2050898960318464731,pattern02,0,9
2149796311728128038,pattern02,0,3
2497327860285440738,pattern02,0,3
2016938200924160813,pattern02,0,3
1814164649541632304,pattern02,0,4
2302650011877376790,pattern02,0,4
2162203826323456369,pattern02,0,3
2031204849156096666,pattern02,0,5
1808183806918656135,pattern02,0,3
1775045265326080133,pattern02,0,3
2055610547830784460,pattern02,0,7
1896839976583168619,pattern02,0,3
1812472533090304982,pattern02,0,4
1397334701244416830,pattern02,0,3
2245488980000768895,pattern02,0,3
2258459303084032844,pattern02,0,5
2162037178236928454,pattern02,0,3
1864883003981824965,pattern02,0,3
2000277292974080306,pattern02,0,3
2262066303860736952,pattern02,0,3
1707540140261376332,pattern02,0,7
2342423120314368628,pattern02,0,3
1740835280388096799,pattern02,0,6
1479975031013376108,pattern02,0,3
1878373924077568359,pattern02,0,6
