sender_id,receiver_id,weight
2256799843483648902,1820683428429824682,1
2256838749847552567,2198096633135104173,1
2258320974938112588,2267724931661824849,1
2259809558593536012,1950553768722432624,1
2260255178227712649,2263541465743360451,1
2260255178227712649,2532324033953792557,1
2260612365156352264,2190172150038528795,1
2261264562651136759,1643095514939392661,1
2261471274729472419,2103404516081664055,1
2262184046362624514,2039725267353600466,2
2262972407742464802,2233018391461888389,1
2263541465743360451,2260255178227712649,1
2267724931661824849,2237934635843584193,1
2267946936172544258,2292678305775616797,2
2268958870732800796,1729825131724800129,1
2269824063373313007,2290003715555328745,1
2270230927638528275,2324918528114688421,1
2270599212695552570,1887638051094528490,2
2270599212695552570,1965055767740416890,1
2270808391024640211,2003836562571264203,1
2271295559434240092,2189064501460992657,1
2271295559434240092,2325340911304704773,1
2273393936171008216,1771127760224256441,1
2276588511035392467,2291795287343104037,1
2277279161909248467,1680062264901632630,1
2277804674646016754,2172066421800960718,1
2277804674646016754,2251176020017152652,1
2278757897338880042,2120210244960257013,3
2278757897338880042,2203963348746240529,1
2279382127214592724,2320895083282432587,1
2279472187310080453,1641632055164928984,1
2279472187310080453,2024851107741696707,1
2279472187310080453,2502044732620800523,1
2279472187310080453,2534646151643136877,2
2281407464341504206,1998730324606976114,1
2281456722247680574,2282864154509312537,1
2281630467096576563,2115433301803008783,1
2281726466326528261,2292678305775616797,1
2281732304797696497,2285225270837248099,1
2282864154509312537,2281732304797696497,2
2283118773927936293,2308274892308480534,1
2283756241027072285,2281732304797696497,1
2283756241027072285,2282864154509312537,2
2285225270837248099,2281732304797696497,1
2285225270837248099,2282864154509312537,2
2286777431752704855,2303341233176576878,1
2287527239090176225,2290003715555328745,1
2289438214324224794,2291815269007360216,2
2289771292393472987,2062240341557248420,1
2289771292393472987,2078518284386305011,2
2289771292393472987,2348376507023360292,2
2290003715555328745,2343766455222272406,1
2290391118249985004,2368749315293184504,1
