user_id,reappeared,w1_events,w1_partners,w1_max_tie,w1_recip_frac,tenure_days,peer_w1_events,peer_w3_frac
2169053502242816939,0,3,3,1,0.0,14,0,0.0
1988935660077056006,0,3,3,1,0.0,32,1,0.0
2021889316749312868,0,3,4,2,0.25,32,5,0.0
2269971073728512101,0,4,3,1,0.0,9,1,0.0
1519272069169152265,0,3,3,1,0.0,30,12,0.0
2212514016264192287,0,4,3,2,0.0,27,0,0.0
1349745859624960254,0,3,1,1,0.0,16,1,0.0
1892350905286656713,0,6,2,3,0.0,32,4,0.0
2431646426988544695,0,3,3,1,0.0,30,1,0.0
2166416283271168446,0,3,4,1,0.0,24,1,0.0
2501824170950656301,0,3,2,2,0.0,32,0,0.0
2336004769841152676,0,3,3,1,0.0,31,1,0.0
1501793280327680490,0,3,1,1,0.0,15,1,0.0
1569919120441344192,0,3,2,2,0.0,14,1,0.0
1880736147701760997,0,5,3,1,0.0,28,5,0.0
2370843388674048237,0,3,3,2,0.3333333333333333,30,3,0.0
2360525853818880690,0,3,2,2,0.0,25,0,0.0
1460260493590528304,0,5,4,2,0.25,33,3,0.0
2340401776164864402,0,3,4,1,0.0,6,4,0.25
2538717377986560178,0,3,2,2,0.0,24,0,0.0
1770614905896960479,1,3,2,1,0.0,28,0,0.0
1626256164519936445,1,4,3,1,0.0,22,5,0.0
2217204816805888853,0,3,0,0,0.0,7,0,0.0
2174903876845568903,0,3,3,2,0.0,33,1,0.0
1535542554525696798,0,4,1,1,0.0,25,2,0.0
1875205110628352232,0,4,2,3,0.0,31,0,0.0
2512848622190592795,0,3,1,3,0.0,32,0,0.0
2284495168339968918,0,3,2,2,0.0,33,2,0.0
1954566618742784616,0,3,3,1,0.0,33,0,0.0
2061020872835072496,0,6,1,2,0.0,32,0,0.0
1556123677097984174,0,3,1,1,0.0,33,0,0.0
2154785914486784611,0,3,3,1,0.0,32,3,0.0
2553643999952896063,0,3,2,2,0.0,4,3,0.0
1449699403890688847,0,4,1,4,0.0,27,0,0.0
1436272304324608684,0,3,3,1,0.0,26,0,0.0
2233598178492416404,0,3,2,3,0.5,34,3,0.0
1998281911566336827,0,3,1,1,0.0,30,0,0.0
2018502600818688540,0,5,0,0,0.0,1,0,0.0
1862561255391232731,0,3,2,3,0.5,21,2,0.0
2091158524133376299,0,4,6,1,0.0,32,4,0.0
2314954900242432479,0,3,1,1,0.0,33,0,0.0
1676255447482368352,0,4,1,6,1.0,5,2,0.0
1783175571308544581,0,7,5,2,0.0,30,16,0.0
1762716645588992311,0,4,3,2,0.0,26,0,0.0
2153347175940096618,0,3,1,3,0.0,27,0,0.0
1372078733262848280,0,3,4,1,0.0,7,2,0.0
2457779180666880078,0,3,2,3,0.5,29,2,0.0
1672071092371456551,0,3,2,2,0.5,27,1,0.0
2305402221887488441,0,5,3,3,0.0,29,1,0.3333333333333333
1834598208110592581,0,3,2,1,0.0,22,2,0.0
1718363155857408888,0,3,1,2,0.0,30,0,0.0
2203110655131648258,0,3,1,7,1.0,12,4,0.0
1821149642096640755,0,3,1,4,1.0,30,1,0.0
2342618155450368047,0,4,2,5,0.5,28,3,0.0
2157612321734656140,0,3,2,1,0.0,25,0,0.0
2238114865086464287,0,5,8,5,0.25,28,20,0.125
1999454227922944393,0,3,4,5,0.25,31,11,0.25
2534205590339584515,0,3,3,4,0.3333333333333333,31,6,0.0
1383990439182336903,0,3,2,3,0.5,33,5,0.0
1788769103511552008,0,3,1,4,1.0,15,3,0.0
2408430325202944615,0,3,2,2,0.0,23,0,0.0
1933621908733952733,0,3,5,2,0.2,7,4,0.0
1858141339779072768,0,3,4,1,0.0,25,2,0.0
1669183381176320929,0,3,3,1,0.0,21,6,0.0
1816228372938752386,0,3,1,3,0.0,24,0,0.0
2485371107540992784,0,3,3,3,0.3333333333333333,31,4,0.0
2335953423171584870,0,3,3,1,0.0,0,0,0.0
1816259721166848138,0,3,1,1,0.0,33,0,0.0
1909835230609408548,0,3,3,1,0.0,29,1,0.0
1784949678014464695,0,3,2,2,0.0,33,0,0.0
1464765629071360907,0,3,1,1,0.0,20,0,0.0
2040069250613248212,0,3,2,2,0.0,13,5,0.0
2276382679760896068,0,3,2,2,0.0,24,1,0.0
