user_id,seed_type,degree_in_subset,sent_events,window_pattern,label,date_joined,username,account_age_days_at_start
2066979049439232647,pattern02,3,3,02,reappeared_skipW2,2016-10-22T21:18:24,Daviduribe,641.0
2130270408933376262,pattern02,1,3,02,reappeared_skipW2,2017-01-18T05:07:02,VietHuynh92,553.0
1445256394440704250,pattern02,1,3,02,reappeared_skipW2,2014-06-18T01:46:28,yuraymond,1498.0
1860926500241408827,pattern02,2,6,02,reappeared_skipW2,2016-01-12T14:08:46,Sean-Burk-2,925.0
1985327468118016940,pattern02,3,3,02,reappeared_skipW2,2016-07-02T05:31:17,mhodes3,753.0
2281407464341504206,pattern02,5,3,02,reappeared_skipW2,2017-08-14T17:49:23,kateshiber,345.0
2040037650726912083,pattern02,1,3,02,reappeared_skipW2,2016-09-15T17:10:39,EllieRauh,678.0
1787317035466752413,pattern02,3,6,02,reappeared_skipW2,2015-10-03T00:39:54,brianagrogan,1026.0
2246226237980672426,pattern02,2,3,02,reappeared_skipW2,2017-06-27T04:50:34,Elliott-Carr-2,393.0
1557582699298816063,pattern02,1,4,02,reappeared_skipW2,2014-11-20T01:18:47,Chris-Hofford,1343.0
1789615614722048114,pattern02,3,3,02,reappeared_skipW2,2015-10-06T04:46:46,Alex-Bender-3,1023.0
1790130918522880303,pattern02,3,5,02,reappeared_skipW2,2015-10-06T21:50:35,Juliepk1,1023.0
2324483360686080269,pattern02,1,3,02,reappeared_skipW2,2017-10-13T04:13:30,J_rollz3000,285.0
2038837568077824443,pattern02,11,3,02,reappeared_skipW2,2016-09-14T01:26:18,bhill1852,679.0
1850390660251648348,pattern02,2,3,02,reappeared_skipW2,2015-12-29T01:15:56,amandaparenti,939.0
2247504192077824545,pattern02,2,3,02,reappeared_skipW2,2017-06-28T23:09:38,Cameron-Rizzi,392.0
2297531635597312557,pattern02,2,3,02,reappeared_skipW2,2017-09-05T23:45:14,Tami-Kwong,323.0
1799741469884416298,pattern02,2,5,02,reappeared_skipW2,2015-10-20T04:05:02,katieraya,1009.0
1981502204149760055,pattern02,2,3,02,reappeared_skipW2,2016-06-26T22:51:10,aftonapodaca,759.0
2433097236742144702,pattern02,1,4,02,reappeared_skipW2,2018-03-12T00:49:53,Ethan-Grant-8,135.0
2433764835721216465,pattern02,2,5,02,reappeared_skipW2,2018-03-12T22:56:17,salinasr500,135.0
1945168634707968788,pattern02,6,7,02,reappeared_skipW2,2016-05-07T19:42:51,Ryan-Razavi,809.0
2291795287343104037,pattern02,1,4,02,reappeared_skipW2,2017-08-29T01:48:08,patrickc410,330.0
1604172189270016267,pattern02,1,3,02,reappeared_skipW2,2015-01-23T08:03:47,Lauren-Shilling,1279.0
2051297746354176701,pattern02,2,4,02,reappeared_skipW2,2016-10-01T06:02:27,Rapeepat-Deemak,662.0
2024323707568128236,pattern02,3,3,02,reappeared_skipW2,2016-08-25T00:49:51,Stephen-Kragen,699.0
2018573476167680230,pattern02,3,4,02,reappeared_skipW2,2016-08-17T02:25:10,Kyle-Vanderbeck,707.0
1920729742311424041,pattern02,2,3,02,reappeared_skipW2,2016-04-04T02:27:08,SeanJames82,842.0
2188946121424896736,pattern02,3,3,02,reappeared_skipW2,2017-04-09T04:05:12,chingoh,472.0
2096260039311360839,pattern02,1,3,02,reappeared_skipW2,2016-12-02T06:54:30,stacybranzova,600.0
1596761088983040864,pattern02,3,5,02,reappeared_skipW2,2015-01-13T02:39:15,LukeCeverha,1289.0
1892456576581632194,pattern02,2,3,02,reappeared_skipW2,2016-02-25T02:13:24,Eric-Liu-16,881.0
2003836562571264203,pattern02,2,3,02,reappeared_skipW2,2016-07-27T18:25:33,Audrey-Kinshofer,728.0
2291695051866112626,pattern02,1,3,02,reappeared_skipW2,2017-08-28T22:28:59,Maleni-Morales-1,331.0
2132789264646144771,pattern02,2,3,02,reappeared_skipW2,2017-01-21T16:31:33,SvmWhitney,550.0
2083709238902784783,pattern02,1,4,02,reappeared_skipW2,2016-11-14T23:18:18,mariahaortiz,618.0
2272701657907200663,pattern02,2,3,02,reappeared_skipW2,2017-08-02T17:32:30,TBrax,357.0
2112151451860992462,pattern02,1,5,02,reappeared_skipW2,2016-12-24T05:07:54,Jackson-Diaz,578.0
1994616224088064667,pattern02,1,4,02,reappeared_skipW2,2016-07-15T01:06:23,eelnayr,740.0
1934678621683712902,pattern02,3,5,02,reappeared_skipW2,2016-04-23T08:21:04,Yubin-Ko,823.0
1818381082689536759,pattern02,2,3,02,reappeared_skipW2,2015-11-14T21:18:37,melanie-carlson-2,984.0
2231726579384320933,pattern02,2,6,02,reappeared_skipW2,2017-06-07T04:42:20,Adam-Shafer-3,413.0
2292678305775616797,pattern02,3,3,02,reappeared_skipW2,2017-08-30T07:02:32,Jennifer-Ton,329.0
1754439396360192190,pattern02,1,3,02,reappeared_skipW2,2015-08-18T15:57:54,JamesMahley,1072.0
1906163654328320556,pattern02,2,4,02,reappeared_skipW2,2016-03-15T00:06:55,Trevor-Triggs,862.0
1876307138838528269,pattern02,1,3,02,reappeared_skipW2,2016-02-02T19:27:21,Jordan-Sligar,904.0
